memory,cpu,start_time,end_time,duration_seconds,p95_ms,p99_ms,error_rate,http_reqs_total,content_fetch_p95_ms,content_fetch_error_rate,search_p95_ms,search_error_rate,oom_killed,restart_count
256Mi,250m,2026-07-29T14:56:37Z,2026-07-29T15:00:56Z,259,0,0,1,183,"NA","NA","NA","NA",yes,4
256Mi,500m,2026-07-29T15:00:56Z,2026-07-29T15:05:14Z,258,0,0,1,183,"NA","NA","NA","NA",yes,5
256Mi,1000m,2026-07-29T15:05:14Z,2026-07-29T15:09:33Z,259,0,0,1,187,"NA","NA","NA","NA",yes,5
384Mi,250m,2026-07-29T15:09:33Z,2026-07-29T15:12:18Z,165,10511.334541,10844.378896,0.19633943427620631,601,2193.4069766499997,0.5919540229885057,10633.0397536,0.3333333333333333,no,0
384Mi,500m,2026-07-29T15:12:18Z,2026-07-29T15:14:53Z,155,1612.555517599998,2503.7882823199993,0.3295269168026101,613,1306.47789995,0.5352112676056338,1208.61826335,0.11971830985915492,yes,3
384Mi,1000m,2026-07-29T15:14:53Z,2026-07-29T15:17:34Z,161,730.6364273999995,2613.44348568,0.6341463414634146,369,488.22149759999996,0.7457627118644068,302.5500259,0.4576271186440678,yes,3
512Mi,250m,2026-07-29T15:17:34Z,2026-07-29T15:20:19Z,165,10098.8255593,10779.54635174,0.12289562289562289,594,3129.8967375000007,0.5224719101123596,10099.504353400001,0.16292134831460675,no,0
512Mi,500m,2026-07-29T15:20:19Z,2026-07-29T15:22:54Z,155,1643.028708199998,2098.364483560001,0,1559,1507.830805,0.5409181636726547,1188.89554,0,no,0
512Mi,1000m,2026-07-29T15:22:54Z,2026-07-29T15:25:30Z,156,750.5853964,1267.5360132600067,0,2719,707.0763152,0.5028636884306987,586.135693,0,no,0
768Mi,250m,2026-07-29T15:25:30Z,2026-07-29T15:28:20Z,170,10359.1028615,10616.005558200002,0.22379032258064516,496,2681.831806899997,0.5447761194029851,10187.20327255,0.2537313432835821,no,0
768Mi,500m,2026-07-29T15:28:20Z,2026-07-29T15:30:55Z,155,1720.7541801999998,2377.6006148,0,1605,1416.6059048999998,0.5557692307692308,1284.61535665,0,no,0
768Mi,1000m,2026-07-29T15:30:56Z,2026-07-29T15:33:31Z,156,747.9401700000001,974.55230984,0,2678,668.4464813999998,0.4867052023121387,486.4165542,0,no,0
